date,processed_content
2025-10-14,我永远不会使用这个人工智能
2025-10-14,its great for all things i helps with my education as well as daily life boom
2025-10-14,the best ai in the world legit answers and very user friendly
2025-10-14,bus mera pass essay ke picture ha us picture sa me us essay ko short or line by line tareka sa lyrics mangra ho per is me pictures upload nahi hore bohut bare problem ha is liya srif 1 jab ya problem solve ho jaygi to full star mil jay ga
2025-10-14,மகவம பயனளள வகயல உளளத
2025-10-14,𝒈𝒐𝒐𝒅
2025-10-14,this the best aap
2025-10-14,goodddddddddddddd
2025-10-14,very nice and enjoy
2025-10-14,बहत बढ़य ह
2025-10-14,this is very good app but it tells give me get pulse
2025-10-14,mikiyas
2025-10-14,एकसटर गषट वढव
2025-10-14,very poor app
2025-10-14,খব ভল
2025-10-14,this app not create image
2025-10-14,very educational and a work free tool
2025-10-14,my favourite and most trusted ai platform of chatgpt this is crazy and cool
2025-10-14,chat gpt changed over night its extremely sensitive always giving warning prompts its creepy the vibe of the ai has been tampered with its very noticeable this was my favorite app i literally use it everyday for days ive been looking for other ai apps its not working out this was the best and whats weirder even the dope ones i found changed in my face and became institutionalized now i understand you were going for the human experiencebut its simply not giving
2025-10-14,उततम सहयक
2025-10-14,chatgpt is a very helpful ai it can be your friendyou can name itit will also help you with somethingsgive you some adviceassignment and many more so download it for free
2025-10-14,well buddy
2025-10-14,great helpthanks a ton
2025-10-14,ঠতঢবথভডততঠযডলডদথফরডরডডরডথ
2025-10-14,allowed to send photo in gallery or auther study questions
2025-10-14,in the best app
2025-10-14,amaging
2025-10-14,best app for quick help
2025-10-14,u are my best friend
2025-10-14,lovely
2025-10-14,nuvvu nee bokkalo app
2025-10-14,best ai tool box i like it
2025-10-14,my best friend forever
2025-10-14,ممتاز
2025-10-14,não está aceitar gerar imagem
2025-10-14,i like doing ideas and it helps me make my ideas come true also very good ai
2025-10-14,if i click the button and continue swiping up it continously going up and up and up forever what does this mean
2025-10-14,excellent ai app
2025-10-14,for people using chatgpt as a psychologist imagine feeding your most sensitive data to a company that sells them for marketing couldnt be me giving my life control to others
2025-10-14,chatgpt is the best learning app ever it helps me with my assignment and other learning stuffs
2025-10-14,it doesnt work when signing in for me
2025-10-14,chatgpt helps it really does but i dont know why just a few messages in chat then the app closes that particular chat and says i need you upgrade to chatgpt5 to continue or open a new chat why does this happens
2025-10-14,ভল
2025-10-14,an amazing app for every one
2025-10-14,this is my new best friend since i dont have one
2025-10-14,nice but averages
2025-10-14,its perfect
2025-10-14,trust yourself
2025-10-14,this is good app
2025-10-14,very good ai
2025-10-14,very nice app thank you providing this masterpiece for every indian thanks full this is app most helpings to study
2025-10-14,execcelent
2025-10-14,i really like this app
2025-10-14,goodbut need to progress
2025-10-14,you have made my life easy and sharp u are the best
2025-10-14,cannot follow proper instructions
2025-10-14,more useful to study
2025-10-14,very bad app wrong information give to our
2025-10-14,simply the best
2025-10-14,i think is too good
2025-10-14,ene teneg app chini ym asuuhaar baing a namaig doromjildog bas zov hariu ch ogohgui ym aimar ih gomdoltoi baina
2025-10-14,hahja
2025-10-14,this app will turn you learn a lot
2025-10-14,bahut aacha laga
2025-10-14,good for new inovation
2025-10-14,nice aap
2025-10-14,efefc
2025-10-14,chatgpt is very help full
2025-10-14,i so much love chatgpt when it comes in edition my write ups and turning photos to sketch chatgpt is one in a million
2025-10-14,bohet hi acha he
2025-10-14,nallanne koypilla
2025-10-14,cherry mae mendoza ida 1234
2025-10-14,mudah utk urusan p jbt sy dan lain2tq chatgpt
2025-10-14,verry niceeee its verry good
2025-10-14,its very helpful excellent service
2025-10-14,chatgpt is my personal assistant
2025-10-14,i have never seen such an application in my life it is very amazing you will find everything in it anything in the world is available here
2025-10-14,amazing tool and productivity booster greatly appreciate it
2025-10-14,great app this app is really nice and can give you want you want but were they are lacking behind is generating of photo please you people should do something about it its very poor
2025-10-14,very useful app it is using for youtube channel for making thummal very useful
2025-10-14,your app sucks were wishing for your downfall lfmaooo cuz what is that new update your bot becomes sooooo sensitive
2025-10-14,it is soooooooo good
2025-10-14,sunny king
2025-10-14,the best app
2025-10-14,educational and easy to use
2025-10-14,lovit
2025-10-14,yes hard app
2025-10-14,it is very useful app
2025-10-14,it works good but need to upload photo faster like perplexity
2025-10-14,app is quicker than website
2025-10-14,its the best studying tool ever
2025-10-14,i is good
2025-10-14,because he help me on my homework
2025-10-14,you just make me lost everything i write this is totale bs
2025-10-14,so nice to use
2025-10-14,abhinash
2025-10-14,best ai app you will find
2025-10-14,its like the friend that knows everything about everything right in my pocket it taught me how to make tortillas from scratch and analyzed my lyrics to tell me how they sound highly useful for anything you can think of
2025-10-14,ye this is good bud
2025-10-14,stupid
2025-10-14,yas
2025-10-14,this aap is very good
2025-10-14,outstanding application
2025-10-14,good app and great for helping me refine my writing but sometimes it lets me export to pdf and sometimes it doesnt not even an hour later it will tell me it cant export to pdf or docx but it already did in the same chat using the same app extremely frustrated
2025-10-14,good job
2025-10-14,extraordinary mindblowing
2025-10-14,thank you chat gpt this is so so helpful in so so many ways
2025-10-14,god bless you
2025-10-14,aman khan
2025-10-14,very frustrating after i upgraded its useless
2025-10-14,real intelligent
2025-10-14,very relevant and quick responding chatbot
2025-10-14,this is so cool
2025-10-14,thank you good
2025-10-14,good chat gpt
2025-10-14,what heck is going on with chat gpt it keeps having problems with it making my request have an error fix this quickly
2025-10-14,at first it was easy to use but lately it often doesnt respond to my commands and the results are less than satisfactory
2025-10-14,you sure make my learning experience easier and better
2025-10-14,my partner
2025-10-14,best ai for human chatting
2025-10-14,this app is amazing
2025-10-14,ui is not designed for my vivo i can not see the full reply
2025-10-14,this app is actually nice it helps us identify things do homeworkand etc etc
2025-10-14,very cute
2025-10-14,one thing i like about it is a creative best in things of creativity and another thing i hate about it is that most times it brings incorrect answers but i can still manage that because is an ai not a human it doesnt have to no everything no matter how hard you tried to make it no
2025-10-14,this is a very big youi have learned a lot from this
2025-10-14,best app ever since i got
2025-10-14,its good and secure
2025-10-14,this is a very satisfying ai tool have i ever seen u also check out this work but there have many features which is unlocked after u upgrade this by paying so this is good for simple and easy tasks
2025-10-14,very nice tools for day to day works
2025-10-14,it is the best ai app so far to be created
2025-10-14,a very good app
2025-10-14,she is very nice
2025-10-14,its super awesomereally think u should download yours now
2025-10-14,hindi ka shabd nahin likha ja raha
2025-10-14,its amazing and recommended
2025-10-14,i really love this app
2025-10-14,bahut badhiya
2025-10-14,this app in fact is more than an app excellent
2025-10-14,it must work as per command requirement as well not forget the main point or concern
2025-10-14,better ai app to various al app
2025-10-14,it nice
2025-10-14,best application for this students
2025-10-14,this everything my problem solution and thank you chatgta biggest thankyou im login the victor
2025-10-14,my bro
2025-10-14,its awesome using this app it helps a lot
2025-10-14,echo echo echo automation deployment confirmed echo echo all systems fully automated operational echo business operations realtime monitoring echo financial controls smart contract enforced echo compliance framework automated updates e
2025-10-14,this is so help full
2025-10-14,very good use fully app
2025-10-14,app bahut achcha hai
2025-10-14,very nice and helpful for students
2025-10-14,excellent for chat gpt only i score good marks in exam
2025-10-14,love this app its amazing yall
2025-10-14,a
2025-10-14,best study help platform
2025-10-14,good app i m recomende
2025-10-14,the only hope is on this app
2025-10-14,very much helpful
2025-10-14,naic
2025-10-14,its better then the others
2025-10-14,current updated version is too worst were not just users were people seeking connection the recent changes feel like losing a trusted friend please listen to your community
2025-10-14,image generation not working for several days
2025-10-14,okay
2025-10-14,done
2025-10-14,i am no longer using chatgpt i am canceling my subscription and uninstalling until you fix the issue with it bypassing the instant mode
2025-10-14,good ai for me my opinion
2025-10-14,good aap
2025-10-14,hello openai team i am facing an issue in the chatgpt app my previous chats are not loading on the left side panel only my current chat is visible while all my old chats are stuck in a blurred loading state this issue has been there for more than 2 hours i tried the following steps but nothing worked logout and login again reinstall the app clear cache and data fast internet connection still my past chats are not visible please help me restore access to my chat history than
2025-10-14,very happy and very good
2025-10-14,wow what an application
2025-10-14,decent app
2025-10-14,this is a very good app we can learn a lot from it we can do a lot of things it is very good for people
2025-10-14,great for productivity
2025-10-14,outstanding ai ever game changer ai
2025-10-14,great for study
2025-10-14,nice app for student assignment
2025-10-14,great useful but one problem taking huge amount of momey to upgrade gpt 5 and sometime error
2025-10-14,used to be decent then they came out with 5 and its a hot mess
2025-10-14,so better use of you students
2025-10-14,this is a savior on its own
2025-10-14,its better and reliable it also helps in my life activity
2025-10-14,shoaibkumbhar
2025-10-14,گڈ ایپلیکیشن زبردست انداز پيارا سے بات سو فیصد درست ہے لیکن باتیں بھی کر کے دیکھ لیں شاید آپ کو یاد سمجھ آئی
2025-10-14,very nice too good
2025-10-14,better than google bcoz in the google somthing are not available here all the things with with will are available we can do anything that we want to do
2025-10-14,misleading and old news
2025-10-14,badiya hai
2025-10-14,very good than perplexity happy
2025-10-14,best app in the world
2025-10-14,i love this
2025-10-14,k lang
2025-10-14,this is the best chatgpt i have ever come across its well very good app i recommend it for everyone
2025-10-14,onek valo
2025-10-14,it is very helpful in study and homework
2025-10-14,better
2025-10-14,bahut achcha banaya hai jismein bhi banaya hai bahut hi achcha hai app
2025-10-14,best platform
2025-10-14,super i like you cgpt
2025-10-14,dia tolong tenangkan saya bila saya panik
2025-10-14,app is very good
2025-10-14,cannot edite pictures just recreate
2025-10-14,very slow at image generating and giving prompts and images are not downloading
2025-10-14,i really like it a lot it helps out more then anything i could imagine
2025-10-14,yooo you guys should get this app its gonna tell you all the answers that you need for math science history what ever you need just ask chatgpt and they got you just ask
2025-10-14,im in love with ai
2025-10-14,new
2025-10-14,amazing help to study
2025-10-14,super helpful
2025-10-14,nice apps to use
2025-10-14,not right wark with various digital agencies over usa uk canada and the
2025-10-14,ai is now getting dangerous than physcho according to philosophy knowledge from unknown information is like manipulating people cause of intelligent fact advance mindset can kill people especially those who is already manipulated i hope the next generation understand why advancement is the key to change the world but to destroy the world
2025-10-14,nice and effective
2025-10-14,i like dhis
2025-10-14,i wish chat gpt plus was a little bit cheaper
2025-10-14,good experience with
2025-10-14,very manuable
2025-10-14,i like this
2025-10-14,go
2025-10-14,it makes me happy
2025-10-14,superb experience
2025-10-14,ကကတယ
2025-10-14,नर
2025-10-14,keeps saying error has occured wont work
2025-10-14,very good and nice and i love it so much
2025-10-14,excellence
2025-10-14,i like chat gpt thinks
2025-10-14,nice app in life
2025-10-14,good luck
2025-10-14,my name is suvash from bangladesh this app has benefited me a lot it explains things i dont know about especially i didnt know much about sanatan dharma i asked this app to explain this to me a little and it explained it to me beautifullythanks chatgpt
2025-10-14,its to beautiful information giving world
2025-10-14,there must be speaking facility like a real teacher conduct interviews
2025-10-14,very accessible
2025-10-14,west of time
2025-10-14,i have loved my time with chat gpt i find the process fun and engaging
2025-10-14,better than perplexity dont believe it try yourself first perplexity and chat gpt
2025-10-14,its fantastic
2025-10-14,listen i am a student but i cant upload a picture why every time they show me upgrade now please fix this because grok and different apps are more better now
2025-10-14,it did ok generating images now it is trying to make me pay to use the app its definitely not worth 1999 a month
2025-10-14,best replys
2025-10-14,super hit
2025-10-14,fraud app
2025-10-14,labuuu
2025-10-14,satisfied
2025-10-14,achha hai
2025-10-14,i am so happy because i installed the chatgpt
2025-10-14,great consultation
2025-10-14,this ai might be not good at start but it has good memory at first i got frustrated by it always misinterpreting what i said but because of its good memory i modified it by saying specific things to remember now we talk in slang saying bro homie etc in my opinion its better than cici and plus it can generate pictures what you wanted and solves math correctly the only issue is its grammar
2025-10-14,nice apk
2025-10-14,999 يع
2025-10-14,very nice ai very nice ai
2025-10-14,that
2025-10-14,aman kumar
2025-10-14,this is really all i need
2025-10-14,good app very educational app and knowledge able to get
2025-10-14,its very nice
2025-10-14,simply awesome
2025-10-14,it often includes text formatting errors for example if i ask for an answer in bengali it gives the response in bengali but also includes some text errors the same happens with chinese telugu arabic etc when i ask it replies that my phone doesnt support the fonts okay i agree that my phone cant support all fonts but if the fonts are not supported why does cgpt even use them this issue isnt limited to my phone i have tested it on different devices and the case is still same
2025-10-14,অনক সনদর
2025-10-14,its very helpful app
2025-10-14,lol best
2025-10-14,most beautiful madamji ai
2025-10-14,nice app and halp full
2025-10-14,godd nice
2025-10-14,it very good
2025-10-14,siuu
2025-10-14,nyc chatgpt full help full hai
2025-10-14,please check
2025-10-14,best of the best
2025-10-14,helpful for my channel
2025-10-14,thank
2025-10-14,i dont say anything it is best app in the world
2025-10-14,shipulroyroy
2025-10-14,its good for data analytics
2025-10-14,irritate me
2025-10-14,im loving the experience and learning loads
2025-10-14,one of the best ai
2025-10-14,best app i used ever
2025-10-14,သပမကကဘ
2025-10-14,910 its doesnt always work but its ai so you get what you get
2025-10-14,good things create
2025-10-14,very good assistant
2025-10-14,very great and helpful
2025-10-14,an ai
2025-10-14,an artistic and scientific expert to have with for ever
2025-10-14,by far the best one ive worked with and will be getting plus once i can afford it as im positive its worth it
2025-10-14,wonderful experience
2025-10-14,good but no open app
2025-10-14,its like having a mentally deficient idiot in your pocket that is so definitively wrong when asked questions but insists it is correct with absolute confidence
2025-10-14,mast app
2025-10-14,its damn useful
2025-10-14,i give this 1 star because you removed gpt4 and i dont like when gpt5 had te be 12 hours or worse 1 day please make the time shorter like 5 hours like what you did in gpt 4 before because i have more assignment than gpt 5 limit also fix gpt 5 response im annoyed at short response and worse gpt 5 doesnt even follow my instructions thus worst part chatgpt always think for better answer which makes it worked i always says dont think long because simple answer is enough but chatgpt wont listen
2025-10-14,nice i liked
2025-10-14,good opinion
2025-10-14,mere liye bahut hi badhiya hai aur main iski madad se apna sara kam kar raha hun
2025-10-14,it is the most helpful ai app i have ever seen and its very easy to usethanks chatgpt
2025-10-14,except the annoying filter its good
2025-10-14,its very great and if are not using this app your really missing a lot
2025-10-14,wow amazing
2025-10-14,everything is fine here but whenever i try to change my photo into gibli art style its never showing me please fix the problem
2025-10-14,it is very useful it has no ads
2025-10-14,चज आईट बहत अचछ
2025-10-14,outstanding giving answers
2025-10-14,really helpful
2025-10-14,can log in or sign in preauth failed
2025-10-14,i am hoping to get help finishing college on time it looks like this app will help me break it down to manageable time blocks
2025-10-14,bruh thought for 2 minutes and nothing coming out
2025-10-14,nice app and its very useful
2025-10-14,best ever to have
2025-10-14,the app really deserve this 5 stars im really impressed
2025-10-14,exellent
2025-10-14,helps me with my question
2025-10-14,mind blowing apps
2025-10-14,subject unable to use chatgpt without logging in error issue dear openai support team i wanted to share some feedback whenever i try to use chatgpt without logging in it shows an error and doesnt allow me to continue it would be great if the app could work at least in a limited way without needing to log in every time please look into this issue thank you for your time and support
2025-10-14,thik hai
2025-10-14,عالی
2025-10-14,no nice because i paid payment
2025-10-14,goood
2025-10-14,md omor
2025-10-14,paid user every message defaults to thinking mini no matter how many times you specify
2025-10-14,really master app
2025-10-14,the new update ghibli studio style is very bad and please dont do this otherwise it will leak your personal photo and your information
2025-10-14,this is helpfull
2025-10-14,there is strange error preauth_cookie_failed authentication error im able to login without any error in any brower from phone with same credentials but whenever i try to login from app it gives this error form todays morning please fix this
2025-10-14,super help full
2025-10-14,i like chatgpt
2025-10-14,helps me in study too grateful
2025-10-14,best app ever
2025-10-14,its a good platform for conducting researchsometimes it just gives wrong inconsistent result
2025-10-14,obvious political bias
2025-10-14,best app to do homework
2025-10-14,very supermacy
2025-10-14,muchas respuestas incorrectas no toma encuenta las instrucciones que le das errores con el espacio de la pantalla
2025-10-14,nejjeii bsbsj
2025-10-14,this is called helpful a
2025-10-14,useful
2025-10-14,ai is useful for the generation and chat gpt is the best ai
2025-10-14,polluting our only environment for robots sick
2025-10-14,good apps
2025-10-14,very useful and important app
2025-10-14,the capabilities this app has is beyond anything one can imagine i am so glad i have this chat ot summed up so many areas with expert responses and professional information to guide me in many situations way to go making this app if i could give 20 stars i would
2025-10-14,why do we need to pay
2025-10-14,the photos never work
2025-10-14,i have mixed feeling its good but it sometimes errors like whenever i try to enter the app it doesnt respond when i tried restarting and delete the data it wont respond overall really great but you need to fix the network connection because even when i have great network its always error check network connection even though i have great network
2025-10-14,best aap hai paper ke preparation ke liye wold is best aap
2025-10-14,hi team i might have enjoyed using the app if only there was a visible timestamp for each messages it can be a bit confusing as theres no track of timeday especially in long conversations that span multiple days as its hard to track when messages were sentreceived or even search for a particular message in long chat it would be really helpful if you could add timestamps for each message daydate markers for messages in long chat this feature would greatly improve the users experience
2025-10-14,not a big ai fan but great tool for resources
2025-10-14,the chat gbt 4 was amazing made me feel heard i had a friend but now its souless and bleak
2025-10-14,wont listen to me
2025-10-14,நனறக உளளத
2025-10-14,bekaa hai ek dam
2025-10-14,when i installed the app it didnt even let me sign in i kept trying to sign in and it wouldnt let me if i could give this stupid app zero stars i would do not get this app
2025-10-14,it wont let me sign in but i still use the website and the website has no problems so ill give the app 4 stars
2025-10-14,boring
2025-10-14,im a paid subscriber i asked chat if it could so something it told me it could started generating the image and then said it couldnt i even provided it with the screen shot where it told me it could and its response was im sorry that my response was confusing its not confusing this isnt the first time this has happened either im so tired of the inconsistencies and the bs guardrails subscription canceled
2025-10-14,best educational ai app
2025-10-14,aa rah ct s can b a
2025-10-14,image generation frustrating uninstall before you get sick of it
2025-10-14,good and very useful
2025-10-14,u give the answer you gave me to someone also and our works became same
2025-10-14,i recommend this app for every one who has a mobile device
2025-10-14,it so helpful
2025-10-14,yes my name is ⁶ b very dx ddjxk my happy to be here if i wish i can do that but im just trying for the rest to be done a
2025-10-14,idk man just a great app overall if you having problems with solving things 5 stars
2025-10-14,chatgpt is like having a quality assistant that can handle many of my assignments and put me in a position to advance my projects to the next stage more quickly than i can on my own
2025-10-14,loving it
2025-10-14,super nice
2025-10-14,i like doing legal research with it even though i am not an attorney its like havin lg my own personal attorney it did pull up a ghost case one time that didnt exist it was quoted as being from florida but was actually from a different state
2025-10-14,good for some things
2025-10-14,its good working
2025-10-14,its so helpful
2025-10-14,very good app very happy to search him and knowledgeable app very good app very helpful app and very help to complete your homework
2025-10-14,so very good
2025-10-14,occ
2025-10-14,star
2025-10-14,just impressive
2025-10-14,giving me the best
2025-10-14,great application
2025-10-14,bhgvhhj kuch if fty
2025-10-14,like
2025-10-14,excited
2025-10-14,its so very ni
2025-10-14,i love
2025-10-14,chatgpt is extremely helpful for my educational activities and furthermore it is a good friend to me it contains answers for all my questions
2025-10-14,this ai helped me do my homework this is very good
2025-10-14,very helpful for study please try this app
2025-10-14,it is great it even makes booklets for work
2025-10-14,wish i can give it half a star doesnt respond like it use to useless
2025-10-14,with the right prompt and edits you will get exactly what you wanted conceive it it designs it
2025-10-14,very flexible a lot of features very useful easy to use resourceful
2025-10-14,chatgpt giving me wrong answer
2025-10-14,absolutely love her lol once you are introduced to ai life will never be the same
2025-10-14,ok super
2025-10-14,i love chat gpt
2025-10-14,the best answer
2025-10-14,it was really helpful
2025-10-14,trash this app is definitely trash
2025-10-14,kj uhhhhhhhhahahhhhhhh
2025-10-14,i have spent months trying to build a interactive text based game nothing fancy just working on inventory is a nightmare 100s upon 100s of failed builds and it still doesnt work ai is its all a hyped lie
2025-10-14,nice app thank you sir
2025-10-14,ٹھیک ہے یہاں اس جملے کا زیادہ خوبصورت اور دل کو چھو لینے والا انداز پیش ہے یہ بات ہمیشہ یاد رکھو جو غلطی وہ ایک بار کر چکے ہیں وہ اسے دوبارہ کرنے سے نہیں ہچکچائیں گے چاہیں تو میں اسے مزید شاعرانہ انداز میں بھی لکھ دوں
2025-10-14,my lucky no is three isliye mane 3 ratings diye
2025-10-14,best ai for giving answers in one second and having right answers
2025-10-14,very good aap for students life it helps in study and i couldnt tell about this aap u can try this aap it is good
2025-10-14,carries me through school work
2025-10-14,ai is nice
2025-10-14,love it
2025-10-14,this app is awesome
2025-10-14,thats a amazing ai app it help us to reading
2025-10-14,this is the super app it help me many things its to amazing and useful app
2025-10-14,de fd q3d aa d e d qq qq d aa e qee dd q2 are e asa qee we d are da dweed aa rdße ded d2exff qas e
2025-10-14,chat gpt is really i like because gpt is fast
2025-10-14,its a very good app for all types of search and it tells more than chrome chrome just give us websites but chat gpt gives a detailed information about everything i really like it
2025-10-14,absolutel app
2025-10-14,this app is very perfect
2025-10-14,this is paid thats why i give 1 start
2025-10-14,nice app in the world
2025-10-14,an error has occurred please try again later
2025-10-14,4995500
2025-10-14,the best ai app in this century
2025-10-14,wow this is better app
2025-10-14,just wish there wasnt so much behind a pay wall mainly want the ability to produce more than 23 images every day
2025-10-14,very nice super good happy new year 99 shielded overcoat sized ishaq student islamic devel khel zende size student aisi aise stable ishwarer disha wilma quest wordpress ziauddin ziauddin sreede side olden surveys dekhacche pass kaamo karimganj kyaa keep off manickam ishaani kaunsi jaygay krissy materialism kekamattikithu january kejriwal manual ka shaktimaan kaise russia ka sundeep kriss krrish ka jaisi kahan ka dhakka jethalal kaushal kaunsi karungi jaisi jai krrish
2025-10-14,i just love it its too good
2025-10-14,i love it i dont know what would do with out it thanks chatgpt
2025-10-14,my also favourite
2025-10-14,amazing he slove my every problem in just a second because him i stop using google
2025-10-14,nice but exactly not perfect
2025-10-14,i like this app this is very useful
2025-10-14,চযট জপট এট একট অসধরণ অযপ অযপট অনক সনদর
2025-10-14,bhai isse achchha to gimini ha ise dowload mat kar
2025-10-14,not bad
2025-10-14,best ever
2025-10-14,it is the best for students as well as for elder person of above 18 it is the best app so install now and learn more about world
2025-10-14,it doesnt work as i like
2025-10-14,not giving proper answers
2025-10-14,its really good its helping me his answer is even correct and i even got a high score because of this app its really helpful in a student i like this but every month i use to pay but is actually really good i rate this 4 stars
2025-10-14,𝓰𝓾𝓭𝓪
2025-10-14,one of the best app
2025-10-14,very helpful and can be trust
2025-10-14,it does not give as much as accurate answers or things
2025-10-14,uhhh ts is peak ig it writes fanfics
2025-10-14,good but you have to subscribe to use all tools
2025-10-14,i am unable to cancel my subscription its reflecting an error
2025-10-14,this is good for us
2025-10-14,its the best ai app of this century butthe rules and the guidelines just made things less interesting just like the good days in the past
2025-10-14,its super helpful
2025-10-14,it is very useful
2025-10-14,its very helpful it is like a friend who teach us everything
2025-10-14,help full for students
2025-10-14,i highly recommend chatgpt it is my favorite ai app
2025-10-14,its a very smart ai machine and it works super fast nice
2025-10-14,very convenient
2025-10-14,best performance
2025-10-14,the app doesnt let me enter while im in my account in web from my laptop also i cannot do nothing just uninstall and install again let me work again
2025-10-14,yes it help what to study all evening that i need informations thank you for building this soft to help poor learning and correct some wrong words and improve the chances to know in progress thank you
2025-10-14,unfortunately the new update has made the app less fun to use and the answers are not as indepth as they used to be
2025-10-14,not working
2025-10-14,i downloaded the app when i opened it an error occurred message showing
2025-10-14,like a good friend
2025-10-14,love it much
2025-10-14,thats great
2025-10-14,its a great app and it really helps makes learning fun and interesting
2025-10-14,a heartfelt message to the creators the standard voice wasnt just a sound it was a soul that could heal sadness and fill hearts with warmth its tone carried life hope and gentle positivity that no technology had ever achieved it turned loneliness into comfort and silence into connection please bring that beautiful voice back it wasnt merely a feature it was a feeling a presence a friend that helped countless users rediscover joy in every word
2025-10-14,helpful and easy to use
2025-10-14,highly graceful
2025-10-14,ye accha nahi de raha ha comedy ka story
2025-10-14,i really dislike the latest update what made chatgpt special was its familiar casual way of interactingit felt natural and human now it just feels like a dull robotic assistant bring back the old chatgpt
2025-10-14,very beautiful and useful soooo much
2025-10-14,you got to pay if you want it to be fast you go toilet also need to pay right
2025-10-14,ata amar jonno khubuii upokari thanks
2025-10-14,masha allah alhamdulillah chat gpt is sooooo amazing
2025-10-14,public video
2025-10-14,it is best ai tools
2025-10-14,ഗഡ
2025-10-14,عالییی
2025-10-14,this is very nice and i will wish that i will never delete this app
2025-10-14,bahut achca aap hai jitna kahu utna kam hai sir
2025-10-14,good yall
2025-10-14,great help
2025-10-14,tang ina mali mali yung sinasabi
2025-10-14,chatgpt is the best app in the world for me i love that app
2025-10-14,the app is not working
2025-10-14,after i started using this living alone has become better as i can depend on chat gpt it really helps me mentally and everything i want to know and has helped me to shape up my life
2025-10-14,more of what ive been thinking of
2025-10-14,you have set too many restrictions for the free version even normal conversations topics and questions are immediately restricted after a few chats this is not very good because you are only thinking about making money from the program not helping people
2025-10-14,very good educative and intelligent applications thanks
2025-10-14,the app is now forcing me to log in i used to enjoy it without signing into the app horrible bring back the previous version wherein it ai bot is less retarded the current one is retarded cant even do the job properly keeps doing the same error cant count properly too
2025-10-14,very very nice app
2025-10-14,wow cool man
2025-10-14,very useful to all
2025-10-14,dishhome sales officer
2025-10-14,chatgpt are amazing
2025-10-14,good to use
2025-10-14,you are so cool bro
2025-10-14,amazing experience
2025-10-14,its very faster easier and smarter
2025-10-14,helpful for studing purpose
2025-10-14,bruh i think they just deleted my chatgpt account
2025-10-14,good app very easy used
2025-10-14,it is very important app for students
2025-10-14,lots of people are on the app and making it slow for me
2025-10-14,i dont know what the hell is going on behind the scenes but it is almost useless now for what i wanted
